,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,2.4,,,,,,
1,2015-01-03,,,,0.4,,,,,,
2,2015-01-04,,,,0.0,,,,,,
3,2015-01-05,,,,3.2,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,0.3,,,,,,
6,2015-01-08,,,,7.9,,,,,,
7,2015-01-09,,,,7.1,,,,,,
8,2015-01-10,,,,4.3,,,,,,
9,2015-01-11,,,,0.7,,,,,,
10,2015-01-12,,,,3.0,,,,,,
11,2015-01-13,,,,0.8,,,,,,
12,2015-01-14,,,,1.1,,,,,,
13,2015-01-15,,,,0.7,,,,,,
14,2015-01-16,,,,0.0,,,,,,
15,2015-01-17,,,,1.9,,,,,,
16,2015-01-18,,,,0.0,,,,,,
17,2015-01-19,,,,0.0,,,,,,
18,2015-01-20,,,,2.1,,,,,,
19,2015-01-21,,,,0.1,,,,,,
20,2015-01-22,,,,0.0,,,,,,
21,2015-01-23,,,,0.0,,,,,,
22,2015-01-28,,,,0.9,,,,,,
23,2015-01-29,,,,1.6,,,,,,
24,2015-01-30,,,,2.4,,,,,,
25,2015-01-31,,,,5.5,,,,,,
26,2015-02-01,,,,0.3,,,,,,
27,2015-02-02,,,,0.5,,,,,,
28,2015-02-03,,,,1.4,,,,,,
29,2015-02-04,,,,0.1,,,,,,
30,2015-02-05,,,,0.0,,,,,,
31,2015-02-06,,,,0.0,,,,,,
32,2015-02-07,,,,0.3,,,,,,
33,2015-02-08,,,,0.0,,,,,,
34,2015-02-09,,,,0.7,,,,,,
35,2015-02-10,,,,0.0,,,,,,
36,2015-02-11,,,,0.0,,,,,,
37,2015-02-12,,,,0.0,,,,,,
38,2015-02-13,,,,0.0,,,,,,
39,2015-02-14,,,,0.0,,,,,,
40,2015-02-15,,,,0.0,,,,,,
41,2015-02-16,,,,0.0,,,,,,
42,2015-02-17,,,,0.0,,,,,,
43,2015-02-18,,,,0.0,,,,,,
44,2015-02-19,,,,0.0,,,,,,
45,2015-02-20,,,,0.0,,,,,,
46,2015-02-21,,,,0.0,,,,,,
47,2015-02-22,,,,0.0,,,,,,
48,2015-02-23,,,,0.9,,,,,,
49,2015-02-24,,,,0.0,,,,,,
50,2015-02-25,,,,0.0,,,,,,
51,2015-02-26,,,,0.0,,,,,,
52,2015-02-27,,,,0.0,,,,,,
53,2015-02-28,,,,0.4,,,,,,
54,2015-03-01,,,,0.8,,,,,,
55,2015-03-02,,,,3.3,,,,,,
56,2015-03-03,,,,2.6,,,,,,
57,2015-03-04,,,,1.0,,,,,,
58,2015-03-05,,,,0.3,,,,,,
59,2015-03-06,,,,0.1,,,,,,
60,2015-03-07,,,,0.0,,,,,,
61,2015-03-08,,,,0.0,,,,,,
62,2015-03-09,,,,0.0,,,,,,
63,2015-03-10,,,,0.0,,,,,,
64,2015-03-11,,,,0.0,,,,,,
65,2015-03-12,,,,0.0,,,,,,
66,2015-03-13,,,,0.0,,,,,,
67,2015-03-14,,,,0.3,,,,,,
68,2015-03-15,,,,0.0,,,,,,
69,2015-03-16,,,,0.0,,,,,,
70,2015-03-17,,,,0.0,,,,,,
71,2015-03-18,,,,0.0,,,,,,
72,2015-03-19,,,,0.0,,,,,,
73,2015-03-20,,,,0.0,,,,,,
74,2015-03-21,,,,4.9,,,,,,
75,2015-03-22,,,,0.0,,,,,,
76,2015-03-23,,,,0.0,,,,,,
77,2015-03-24,,,,0.0,,,,,,
78,2015-03-25,,,,0.0,,,,,,
79,2015-03-26,,,,1.2,,,,,,
80,2015-03-27,,,,0.3,,,,,,
81,2015-03-28,,,,0.0,,,,,,
82,2015-03-30,,,,8.4,,,,,,
83,2015-03-31,,,,5.8,,,,,,
84,2015-04-01,,,,8.2,,,,,,
85,2015-04-02,,,,1.1,,,,,,
86,2015-04-03,,,,0.0,,,,,,
87,2015-04-04,,,,0.0,,,,,,
88,2015-04-05,,,,0.0,,,,,,
89,2015-04-06,,,,0.0,,,,,,
90,2015-04-07,,,,0.0,,,,,,
91,2015-04-08,,,,0.0,,,,,,
92,2015-04-09,,,,0.0,,,,,,
93,2015-04-10,,,,0.0,,,,,,
94,2015-04-11,,,,1.5,,,,,,
95,2015-04-12,,,,0.0,,,,,,
96,2015-04-13,,,,0.4,,,,,,
97,2015-04-14,,,,0.0,,,,,,
98,2015-04-15,,,,0.0,,,,,,
99,2015-04-16,,,,0.0,,,,,,
100,2015-04-17,,,,0.0,,,,,,
101,2015-04-18,,,,0.0,,,,,,
102,2015-04-19,,,,0.0,,,,,,
103,2015-04-20,,,,0.0,,,,,,
104,2015-04-21,,,,0.0,,,,,,
105,2015-04-22,,,,0.0,,,,,,
106,2015-04-23,,,,0.0,,,,,,
107,2015-04-24,,,,0.0,,,,,,
108,2015-04-25,,,,0.0,,,,,,
109,2015-04-26,,,,3.3,,,,,,
110,2015-04-27,,,,4.0,,,,,,
111,2015-04-28,,,,1.2,,,,,,
112,2015-04-29,,,,0.0,,,,,,
113,2015-04-30,,,,2.2,,,,,,
114,2015-05-01,,,,3.6,,,,,,
115,2015-05-02,,,,0.0,,,,,,
116,2015-05-03,,,,0.0,,,,,,
117,2015-05-04,,,,6.5,,,,,,
118,2015-05-05,,,,0.7,,,,,,
119,2015-05-06,,,,0.6,,,,,,
120,2015-05-07,,,,0.8,,,,,,
121,2015-05-08,,,,0.0,,,,,,
122,2015-05-09,,,,5.6,,,,,,
123,2015-05-10,,,,1.0,,,,,,
124,2015-05-11,,,,0.0,,,,,,
125,2015-05-12,,,,11.8,,,,,,
126,2015-05-13,,,,0.0,,,,,,
127,2015-05-14,,,,0.0,,,,,,
128,2015-05-15,,,,0.0,,,,,,
129,2015-05-16,,,,0.3,,,,,,
130,2015-05-17,,,,0.4,,,,,,
131,2015-05-18,,,,0.1,,,,,,
132,2015-05-19,,,,0.0,,,,,,
133,2015-05-20,,,,0.0,,,,,,
134,2015-05-21,,,,0.1,,,,,,
135,2015-05-22,,,,0.0,,,,,,
136,2015-05-23,,,,1.6,,,,,,
137,2015-05-24,,,,0.0,,,,,,
138,2015-05-25,,,,2.3,,,,,,
139,2015-05-26,,,,0.0,,,,,,
140,2015-05-27,,,,0.0,,,,,,
141,2015-05-28,,,,4.0,,,,,,
142,2015-05-29,,,,0.0,,,,,,
143,2015-05-30,,,,4.8,,,,,,
144,2015-05-31,,,,0.0,,,,,,
145,2015-06-01,,,,3.3,,,,,,
146,2015-06-02,,,,0.0,,,,,,
147,2015-06-03,,,,0.0,,,,,,
148,2015-06-04,,,,0.0,,,,,,
149,2015-06-05,,,,0.0,,,,,,
150,2015-06-06,,,,0.0,,,,,,
151,2015-06-07,,,,0.0,,,,,,
152,2015-06-08,,,,0.0,,,,,,
153,2015-06-09,,,,0.0,,,,,,
154,2015-06-10,,,,0.0,,,,,,
155,2015-06-11,,,,0.0,,,,,,
156,2015-06-12,,,,0.0,,,,,,
157,2015-06-13,,,,1.7,,,,,,
158,2015-06-14,,,,0.1,,,,,,
159,2015-06-15,,,,0.0,,,,,,
160,2015-06-16,,,,0.0,,,,,,
161,2015-06-17,,,,0.1,,,,,,
162,2015-06-18,,,,2.0,,,,,,
163,2015-06-19,,,,0.6,,,,,,
164,2015-06-20,,,,1.1,,,,,,
165,2015-06-21,,,,0.6,,,,,,
166,2015-06-22,,,,1.9,,,,,,
167,2015-06-23,,,,14.8,,,,,,
168,2015-06-24,,,,0.0,,,,,,
169,2015-06-25,,,,0.0,,,,,,
170,2015-06-26,,,,2.0,,,,,,
171,2015-06-27,,,,4.1,,,,,,
172,2015-06-28,,,,0.0,,,,,,
173,2015-06-29,,,,0.8,,,,,,
174,2015-06-30,,,,0.0,,,,,,
175,2015-07-01,,,,0.0,,,,,,
176,2015-07-02,,,,0.0,,,,,,
177,2015-07-03,,,,0.0,,,,,,
178,2015-07-04,,,,0.0,,,,,,
179,2015-07-05,,,,0.0,,,,,,
180,2015-07-06,,,,4.9,,,,,,
181,2015-07-07,,,,0.4,,,,,,
182,2015-07-08,,,,4.9,,,,,,
183,2015-07-09,,,,0.8,,,,,,
184,2015-07-10,,,,0.0,,,,,,
185,2015-07-11,,,,0.0,,,,,,
186,2015-07-12,,,,5.4,,,,,,
187,2015-07-13,,,,8.0,,,,,,
188,2015-07-14,,,,6.5,,,,,,
189,2015-07-15,,,,0.0,,,,,,
190,2015-07-16,,,,0.0,,,,,,
191,2015-07-17,,,,0.0,,,,,,
192,2015-07-18,,,,0.0,,,,,,
193,2015-07-19,,,,24.5,,,,,,
194,2015-07-20,,,,0.0,,,,,,
195,2015-07-21,,,,14.4,,,,,,
196,2015-07-22,,,,0.0,,,,,,
197,2015-07-23,,,,11.5,,,,,,
198,2015-07-24,,,,0.0,,,,,,
199,2015-07-25,,,,0.2,,,,,,
200,2015-07-26,,,,0.4,,,,,,
201,2015-07-27,,,,2.8,,,,,,
202,2015-07-28,,,,0.0,,,,,,
203,2015-07-29,,,,0.9,,,,,,
204,2015-07-30,,,,0.0,,,,,,
205,2015-07-31,,,,0.0,,,,,,
206,2015-08-01,,,,0.0,,,,,,
207,2015-08-02,,,,0.0,,,,,,
208,2015-08-03,,,,0.0,,,,,,
209,2015-08-04,,,,0.0,,,,,,
210,2015-08-05,,,,0.0,,,,,,
211,2015-08-06,,,,0.0,,,,,,
212,2015-08-07,,,,0.0,,,,,,
213,2015-08-08,,,,0.2,,,,,,
214,2015-08-09,,,,0.0,,,,,,
